Division,Total Staff,Total Faculty,Duo Staff,Duo Faculty
"",61,85,,
"Faculty of Nursing",302,343,,
"Faculty of Applied Science & Engineering",3346,466,24,
"Faculty of Medicine",3206,8061,25,
"Division",0,1,,
"Faculty of Dentistry",1042,191,,
"Ofc of the President",76,0,,
"Faculty of Forestry",1,34,,
"Faculty of Arts & Science",5691,1502,81,
"VP - University Operations",820,0,1,
"Faculty of Information Studies",163,45,,
"Library",618,0,21,
"Faculty of Social Work",199,112,,
"School of Management",801,157,,
"Vice-Provost, Students",431,12,,
"Capital Projects",61,0,,
"Asst VP - Operations & Services",596,1,,
"Dalla Lana School of Public Health",374,588,,
"University College",166,5,,
"Faculty of Pharmacy",475,167,,
"Ofc of the Chief Information Officer",263,1,23,
"Ofc of Chief Financial Officer",61,0,,
"Faculty of Architecture,Landscape&Design",468,90,,
"VP - Human Resources",505,99,,
"VP - Division of University Advancement",295,14,,
"Faculty of Law",300,141,,
"Faculty of Kinesiology & Physl Ed.",1010,84,6,
"New College",156,4,,
"VP - Government &Institutional Relations",12,0,,
"VP & Provost",785,19,7,
"Faculty of Music",523,83,,
"UofT Scarborough",3015,469,46,
"UofT Mississauga",2793,490,55,
"Ofc of Governing Council",53,3,1,
"VP - Research",208,1,7,
"Innis College",92,4,,
"School of Continuing Studies",500,34,13,
"Vice-Provost, Planning & Budget",2,0,,
"Woodsworth College",108,18,,
"OISE",998,303,,
"School of Graduate Studies",59,6,,
"External",120,4,,
